number,vib
806,-0.271617
807,2
808,-0.461163
809,-0.177821
810,-0.484612
811,0.245237
812,0.00977
813,-0.34978
814,-0.167074
815,0.028334
816,-0.004885
817,0.47191
818,0.623351
819,0.038105
820,0.497313
821,0.779678
822,0.528578
823,1.165608
824,0.928188
825,1.072789
826,0.802149
827,0.631168
828,0.368344
829,0.393747
830,0.115291
831,-0.056668
832,0.240352
833,-0.714216
834,0.588178
835,-0.533464
836,0.166097
837,0.238398
838,-0.000977
839,0.569614
840,-0.192477
841,0.075232
842,-0.55789
843,0.099658
844,0.223742
845,0.867611
846,1.774304
847,0.363459
848,1.01319
849,0.921348
850,0.681974
851,1.915975
852,0.686859
853,0.993649
854,0.657548
855,0.496336
856,0.722032
857,0.304836
858,0.00977
859,-0.154372
860,0.396678
861,-0.386908
862,-0.137763
863,-1.371764
864,-0.173913
865,-0.251099
866,-1.449927
867,0.037128
868,0.078163
869,-0.106497
870,-0.145579
871,-0.385931
872,0.308745
873,0.650708
874,1.696141
875,0.348803
876,0.927211
877,-0.057645
878,1.030777
879,0.649731
880,0.777723
881,0.562775
882,-0.290181
883,0.638007
884,0.16512
885,0.26087
886,0.076209
887,0.087934
888,-0.255007
889,-0.136786
890,-1.381534
891,0.4553
892,0.452369
893,0.021495
894,0.240352
895,-0.288227
896,0.044944
897,0.261847
898,-0.627259
899,0.20127
900,0.427943
901,2
902,0.410357
903,1.051295
904,1.144113
905,0.839277
906,1.37958
907,0.642892
908,0.957499
909,0.722032
910,0.608696
911,0.446507
912,0.469956
913,0.085002
914,0.113337
915,0.268686
916,1.191988
917,-1.126527
918,0.132877
919,-0.733757
920,-0.049829
921,0.537372
922,-0.575476
923,-0.618466
924,-0.126038
925,-0.246214
926,0.083048
927,0.250122
928,0.310699
929,0.703468
930,2
931,0.305813
932,1.102101
933,1.765511
934,0.575476
935,1.154861
936,0.842208
937,1.031754
938,0.764045
939,0.104543
940,0.500244
941,0.408403
942,0.26087
943,0.245237
944,0.243283
945,-0.399609
946,0.375183
947,-0.563752
948,0.172936
949,0.058622
950,0.088911
951,-0.046898
952,-0.139717
953,-0.180752
954,-0.251099
955,-0.135809
956,0.359551
957,0.830484
958,0.119199
959,0.954568
960,1.294577
961,0.347826
962,0.776746
963,0.539326
964,0.895945
965,-0.53151
966,0.694675
967,0.507084
968,0.203224
969,-0.110405
970,0.113337
971,0.644846
972,-0.802149
973,0.340987
974,-1.280899
975,-0.375183
976,0.129946
977,0.246214
978,0.120176
979,-0.354665
980,-0.128969
981,0.04299
982,0.213972
983,0.399609
984,1.943332
985,0.291158
986,0.898876
987,1.711773
988,0.983879
989,1.130435
990,1.103078
991,0.704446
992,-0.507084
993,0.829507
994,0.493405
995,0.523693
996,0.211041
997,-0.030288
998,0.250122
999,-0.581339
1000,-0.133854
1001,-1.000489
1002,-0.218857
1003,0.196385
1004,0.805081
1005,1.476307
1006,-0.962384
1007,0.833415
1008,0.892037
1009,0.556913
1010,0.860772
1011,-0.164143
1012,0.74255
1013,0.338056
1014,0.140694
